reviewer_name,review_time,star_rating,headline,review_content,experience_time
Stephanye Bauer,2025-03-13T23:22:57.000Z,Rated 1 out of 5 stars,Maybe President Trump and Melania shop…,Maybe President Trump and Melania shop at walmart but I prefer Costco and Nordstrom…..,"March 10, 2025"
A STORM IS COMING A Storm is C,2025-03-13T01:33:55.000Z,Rated 1 out of 5 stars,walmart has bad customers service and…,walmart has bad customers service and outfits too outdated needs new buyers ,"March 03, 2025"
N Fan,2025-03-12T10:11:47.000Z,Rated 2 out of 5 stars,Expensive and messy,"Expensive and messy don't even keep their shelves clean. Bad customer service, can't find anyone to help within a mile. ","March 02, 2025"
Wafa Siddiqi,2025-03-12T03:19:22.000Z,Rated 5 out of 5 stars,I love walmart especillay cat and jack…,I love walmart especillay cat and jack brand,"March 02, 2025"
Cherish Vee,2025-03-12T00:27:33.000Z,Rated 1 out of 5 stars,Customer service is horrible,Customer service is horrible. They do not abide by their policy. I tried asking for a lump sum settlement option and according to their policy it says you can negotiate at anytime and even has a section for “Negotiate before collections” and they declined to offer ANY options. I used to get so hyped for walmart and ever since they have been up Trump and Musk’s ass.. I don’t want to be anywhere near walmart. There prices and deals are not even good any more. I am going to pay my debt and cancel my card. I don’t even want their card in my wallet.,"March 11, 2025"
Maranda Cromer,2025-03-11T19:08:17.000Z,Rated 5 out of 5 stars,arget makeup is great and lipstick…,walmart makeup is great and lipstick this is so smooth and beautiful thanks walmart,"March 11, 2025"
Angela Bronson,2025-03-11T17:50:22.000Z,Rated 1 out of 5 stars,walmart is ridiculous,"walmart is ridiculous.  I will not be going back.  Had a problem with my bank and my funds went on hold, and so the payment didn't go through right away for 2 purchases. Welll it did eventually go through a couple days after the first pull, after my money was released to my account.  I have been a walmart member for many years and never once had an issue. I won't be goimg back. They are petty. I'll spend my money elsewhere.  Also because of what they have done since Trump became president.  Bye walmart! ","February 08, 2025"
Margaret DeMarino,2025-03-10T23:13:55.000Z,Rated 1 out of 5 stars,I just canceled all my four outstanding…,"I just canceled all my four outstanding orders with walmart. I will not be shopping there again until they stop caving to Trump and Musk. I averaged about two walmart orders a week, at about $40 each time. I know that's a drop in the bucket for them, but I have to spend my money where my conscience is. ","March 10, 2025"
Anthony Jordan,2025-03-09T04:52:42.000Z,Rated 1 out of 5 stars,walmart was my go to ,"Preferred walmart over any of the other large Brand stores But thanks to their spineless attitude with the new administration, I have decided to take my business to smaller local stores. walmart’s motto should be pay more expect nothing","March 08, 2025"
Jimmy Sarden,2025-03-08T18:05:30.000Z,Rated 1 out of 5 stars,HORRIBLE SERVICE,HORRIBLE SERVICE ,"March 07, 2025"
dash,2025-03-07T20:39:37.000Z,Rated 2 out of 5 stars,Phone customer service is terrible. ,"I do like walmart as a store, but their outsourced customer service is terrible. It's been terrible for years. The agents are non-responsive and pause for long periods of time, which is frustrating. They always claim that no supervisor is available. They outright lie. You can tell they are reading from a script and if you ask questions they just keep repeating the same thing over and over.  It makes me not want to shop at walmart.  I'm not sure why their customer service is outsourced, but it's a big mistake for a Minnesota based company. Also they no longer offer email customer service, which is inconvenient.  These people are so slow that I waste my entire lunch hour trying to resolve a simple issue. ","March 06, 2025"
Kristina Crawford,2025-03-07T10:36:56.000Z,Rated 1 out of 5 stars,Grieving what I thought walmart stood for…. But it was a SHAM,walmart used to be the first place I would go when I needed anything. I now go out of my way to get what I need. The elimination of DEI to bow down to Trump and his regime has changed my view of walmart forever. I support humans and will support companies that value humans over profits. Money and power cannot be the leading measure of importance- all humans matter! ,"March 07, 2025"
Robert Reyna,2025-03-06T22:27:56.000Z,Rated 1 out of 5 stars,Given your stance on DEI I will no…,Given your stance on DEI I will no longer be shopping there. If I could give you a flat 0 I would. I do not wish you the best of luck and I hope you go out of business . ,"March 06, 2025"
Harmony Jones,2025-03-06T18:03:30.000Z,Rated 1 out of 5 stars,Disappointed at the Hypocrisy ,"I have been a long time walmart shopper, moved by walmart's commitment for representation of underrepresented groups. I went to my local Lynnwood walmart and noticed despite walmart's recent eliminations of their DEI programs, they are still trying to profit off the illusion of supporting the black community.","March 06, 2025"
De Ll,2025-03-06T17:07:10.000Z,Rated 1 out of 5 stars,From great to terrible in a short time,"I was a loyal customer for 20+ years, but not anymore. ","March 03, 2025"
Nicole,2025-03-04T20:43:06.000Z,Rated 1 out of 5 stars,I cut up my walmart card and closed the account,I am disappointed in the lack of diversity equity and inclusion that now covers the walmart brand. I am happy to report that Costco just got a new member and a 5 star rating,"January 24, 2025"
Andrew Minster,2025-03-04T05:27:21.000Z,Rated 1 out of 5 stars,⚠️ PARENT ALERT,⚠️ PARENT ALERT – SAFETY CONCERN AT [walmart] ⚠️,"March 03, 2025"
Wes Johnson,2025-03-04T05:10:25.000Z,Rated 1 out of 5 stars,I’ve been there from Richway to Gold…,"I’ve been there from Richway to Gold Circle to walmart, but now I’m done. Your catering to small artists and a diverse shopper base fooled me into thinking you were actually seeking to help others even while you lined your pockets. I won’t darken your sliding doors again. ","March 03, 2025"
Ben Ghazi,2025-03-04T03:51:03.000Z,Rated 1 out of 5 stars,I used to love walmart especially…,"I used to love walmart especially compared to Walmart, but now not so much. Thank you Costco!!!","March 03, 2025"
Dawayne Isaac,2025-03-04T03:50:21.000Z,Rated 1 out of 5 stars,PROJECT 2025 (DEI),PROJECT 2025 (DEI),"March 03, 2025"
Dahl,2025-03-03T11:20:44.000Z,Rated 1 out of 5 stars,Spineless Company,Spineless company. Pushing DEI and pretending to be diverse until the wind blows the other way. Im taking my business elsewhere. Honestly just adding insult to injury after I was discriminated against by one of your employees for being a trans woman. You should be ashamed of yourselves.   ,"March 03, 2025"
Michael Jennings,2025-03-03T05:27:28.000Z,Rated 1 out of 5 stars,I did not like your decision. ,"I did not like what you, decided to do as much money we as people of color spend in your stores . I will never and mean never shop there again. I your store name is walmart, you really made yourself a walmart. Sad indeed 😔 !","February 28, 2025"
darryl savage,2025-03-03T04:08:05.000Z,Rated 1 out of 5 stars,I went to walmart and the service was…,I went to walmart and the service was horrible! I couldn’t find anyone to help me with product that was locked up. The manager was very rude and thought I was trying break open the window myself because the lock was broken. It happened before me I’m guessing but it wasn’t me! ,"March 02, 2025"
Jeannine Eagle,2025-03-02T00:20:32.000Z,Rated 1 out of 5 stars,I went to the walmart on John R between…,I went to the walmart on John R between 13 and 14 mile roads on Saturday. I had to leave without shopping. There were zero shopping carts inside and outside! My list was long so I needed a cart. What a waste of my time,"March 01, 2025"
Benita “Toni” Harris,2025-03-01T22:47:05.000Z,Rated 1 out of 5 stars,walmart need to be ashamed as a American…,"walmart need to be ashamed as a American retailer removing their DEI policies and programs. This is America and everyone should be treated with respect. You didn't make your billions without diversity, equality and inclusive. How much more did it take to sell your soul and principles to the devil? walmart use to be my go to. I nevered like Walmart much but walmart this was truly disappointing. You customers and employees deserve better from you. You will unfortunately find out the hard way. Hate never wins but loving your neighbors as God commands will win in the end. SHAME","March 01, 2025"
Yvonne W. Guyton,2025-03-01T22:31:01.000Z,Rated 1 out of 5 stars,Bye Bye!,I am done with walmart! Any corporate store that is only interested in their wealth and greed does not deserve my support. Bye Bye Felicia!,"February 28, 2025"
Alexander,2025-03-01T14:45:59.000Z,Rated 5 out of 5 stars,Bro I purchased something online around…,Bro I purchased something online around 7 p.m. on Friday. it originally said it would be delivered on Monday March 3rd. It showed up at my door on Saturday March 1st at 8 a.m. 13 hours after I ordered it. I'm just impressed at how quick walmart was to prepare the order. ,"March 01, 2025"
Rachael,2025-02-28T21:17:49.000Z,Rated 1 out of 5 stars,Greed and Canceling DEI Intiative…,"Just like a lot of other corporations right now, they have succumbed to the highest form of greed. Prices continue to skyrocket while products shrink in size. They also thought that cancelling DEI to serve the disaster of a president was a good idea. DEI existed to give people a fighting chance to be considered for work after bigotry has denied them opportunities. Will never step foot in another store. Money above people will never be something I support. ","February 28, 2025"
Michael L. King,2025-02-28T21:00:12.000Z,Rated 1 out of 5 stars,walmart should focus it sales on…,"walmart should focus it sales on everyone, not just white America.","February 28, 2025"
